city,level,index,pollutant,stations
Agartala,Moderate,178,O3,1
Agra,Satisfactory,58,"O3, PM10, PM2.5",6
Ahmedabad,Satisfactory,69,"O3, NO2",9
Ahmednagar,Good,42,PM10,1
Aizawl,Satisfactory,80,PM10,1
Ajmer,Satisfactory,56,PM2.5,1
Akola,Satisfactory,55,O3,1
Alwar,Moderate,102,NO2,1
Amaravati,Satisfactory,63,PM10,1
Amravati,Satisfactory,64,O3,2
Anantapur,Satisfactory,70,PM10,1
Angul,Moderate,108,PM10,1
Ankleshwar,Satisfactory,76,NO2,1
Araria,Satisfactory,97,PM10,1
Ariyalur,Good,34,PM10,1
Asansol,Moderate,106,"O3, PM10, PM2.5",4
Aurangabad (Bihar),Moderate,155,PM10,1
Aurangabad (Maharashtra),Satisfactory,71,"O3, PM10",3
Baddi,Moderate,158,PM2.5,1
Badlapur,Satisfactory,83,PM10,1
Balasore,Satisfactory,85,PM10,1
Banswara,Moderate,110,CO,1
Baran,Satisfactory,59,PM10,1
Barbil,Moderate,142,PM10,1
Bareilly,Satisfactory,66,"SO2, PM10",2
Baripada,Satisfactory,78,PM10,1
Barmer,Moderate,157,PM10,1
Barrackpore,Satisfactory,84,PM10,1
Begusarai,Moderate,117,PM2.5,1
Belapur,Good,40,O3,1
Belgaum,Good,30,PM10,1
Bengaluru,Satisfactory,71,"O3, PM10",12
Bettiah,Satisfactory,81,PM10,1
Bhagalpur,Satisfactory,63,PM10,2
Bharatpur,Satisfactory,80,O3,1
Bhilai,Satisfactory,57,"CO, PM10",3
Bhilwara,Satisfactory,65,O3,1
Bhiwadi,Moderate,120,"PM10, PM2.5",2
Bhiwandi,Satisfactory,65,PM10,1
Bhopal,Satisfactory,74,"O3, CO, PM10",3
Bhubaneswar,Moderate,123,"O3, CO",2
Bikaner,Poor,251,PM10,1
Boisar,Good,36,O3,1
Brajrajnagar,Satisfactory,76,PM10,1
Bulandshahr,Moderate,124,PM10,1
Bundi,Good,47,PM10,1
Buxar,Satisfactory,79,PM10,1
Byasanagar,Moderate,153,O3,1
Byrnihat,Moderate,150,PM2.5,1
Chamarajanagar,Good,47,PM10,1
Chandigarh,Satisfactory,92,"PM10, PM2.5",3
Chandrapur,Satisfactory,96,"O3, PM10",2
Chennai,Satisfactory,78,"PM10, PM2.5",6
Chhal,Good,48,PM10,1
Chhapra,Moderate,115,NO2,1
Chikkaballapur,Good,38,PM2.5,1
Chittoor,Satisfactory,82,PM2.5,1
Chittorgarh,Moderate,152,O3,1
Churu,Satisfactory,96,O3,1
Coimbatore,Satisfactory,55,PM2.5,1
Cuddalore,Good,48,"PM10, PM2.5",2
Cuttack,Satisfactory,91,PM2.5,1
Damoh,Good,23,PM10,1
Dausa,Moderate,113,PM10,1
Davanagere,Good,42,PM10,1
Delhi,Moderate,151,"PM10, PM2.5",38
Dewas,Satisfactory,76,O3,1
Dharwad,Satisfactory,67,PM10,1
Dholpur,Satisfactory,67,O3,1
Dhule,Moderate,153,PM10,1
Dindigul,Satisfactory,62,PM10,1
Dungarpur,Satisfactory,80,PM2.5,1
Durgapur,Moderate,165,"O3, PM10",2
Eloor,Satisfactory,78,CO,1
Firozabad,Satisfactory,57,PM10,1
Gandhinagar,Satisfactory,53,"CO, PM10, PM2.5",3
Gangtok,Satisfactory,57,O3,1
Gaya,Moderate,109,"PM10, PM2.5",3
Ghaziabad,Moderate,116,PM2.5,4
Gorakhpur,Moderate,133,PM10,1
Greater Noida,Moderate,117,PM10,2
Gummidipoondi,Satisfactory,82,PM10,1
Gurugram,Moderate,128,PM2.5,1
Guwahati,Satisfactory,69,"CO, PM10, PM2.5",3
Gwalior,Satisfactory,73,"O3, CO",3
Hajipur,Moderate,178,PM2.5,1
Haldia,Satisfactory,70,PM10,1
Hanumangarh,Satisfactory,94,PM10,1
Hapur,Moderate,114,CO,1
Hosur,Good,49,PM10,1
Howrah,Satisfactory,97,"O3, PM10",5
Hubballi,Good,46,PM10,1
Hyderabad,Satisfactory,74,"O3, PM10",14
Imphal,Moderate,109,SO2,1
Indore,Satisfactory,55,"CO, SO2, PM2.5",5
Jabalpur,Satisfactory,67,"O3, NO2, PM10",4
Jaipur,Moderate,107,"O3, NO2",6
Jaisalmer,Moderate,160,PM10,1
Jalandhar,Satisfactory,83,PM10,1
Jalore,Moderate,110,O3,1
Jhalawar,Good,49,O3,1
Jhansi,Good,46,PM10,1
Jhunjhunu,Moderate,167,O3,1
Jodhpur,Moderate,157,"O3, PM10",4
Kadapa,Good,47,PM10,1
Kalaburagi,Satisfactory,64,"SO2, PM10",2
Kalyan,Satisfactory,71,PM10,2
Kannur,Satisfactory,61,PM10,1
Kanpur,Satisfactory,81,"PM10, PM2.5",3
Karauli,Satisfactory,98,O3,1
Kashipur,Satisfactory,66,PM2.5,1
Katihar,Satisfactory,52,PM2.5,1
Katni,Satisfactory,91,PM10,1
Keonjhar,Moderate,103,PM10,1
Khanna,Satisfactory,90,CO,1
Khurja,Moderate,102,PM10,1
Kishanganj,Satisfactory,57,PM10,1
Kohima,Satisfactory,89,PM2.5,1
Kolhapur,Good,50,"PM10, PM2.5",2
Kolkata,Satisfactory,72,"PM10, PM2.5",6
Koppal,Satisfactory,54,CO,1
Korba,Moderate,147,PM10,1
Kota,Satisfactory,82,O3,3
Kunjemura,Satisfactory,86,PM10,1
Latur,Satisfactory,54,PM10,1
Lucknow,Moderate,118,"PM10, PM2.5",6
Ludhiana,Satisfactory,67,PM10,1
Madikeri,Good,25,PM10,1
Madurai,Satisfactory,58,PM10,1
Mahad,Satisfactory,52,PM2.5,1
Maihar,Satisfactory,59,CO,1
Malegaon,Satisfactory,89,PM10,1
Mangalore,Satisfactory,88,PM10,1
Meerut,Satisfactory,84,"O3, PM10",3
Mira-Bhayandar,Satisfactory,58,PM10,1
Moradabad,Satisfactory,82,"O3, SO2, PM10",6
Motihari,Moderate,148,PM10,1
Mumbai,Satisfactory,54,"CO, PM10",23
Munger,Satisfactory,58,PM10,1
Muzaffarnagar,Satisfactory,90,PM10,1
Muzaffarpur,Satisfactory,74,PM2.5,2
Mysuru,Satisfactory,54,PM10,1
Nagaon,Poor,214,PM2.5,1
Nagapattinam,Satisfactory,53,PM10,1
Nagaur,Moderate,106,PM10,1
Nagpur,Satisfactory,70,PM10,2
Nalbari,Satisfactory,72,PM10,1
Namakkal,Satisfactory,52,PM10,1
Nanded,Satisfactory,58,PM10,1
Nandesari,Satisfactory,80,PM2.5,1
Nashik,Good,46,"O3, PM10",3
Navi Mumbai,Satisfactory,60,PM10,5
Nayagarh,Satisfactory,93,PM10,1
Noida,Moderate,116,"PM10, PM2.5",4
Pali,Satisfactory,58,PM10,1
Panchgaon,Satisfactory,68,PM10,1
Parbhani,Satisfactory,87,O3,1
Patiala,Satisfactory,96,PM10,1
Patna,Moderate,169,"PM10, PM2.5",5
Pimpri-Chinchwad,Satisfactory,54,PM10,4
Pithampur,Satisfactory,76,PM10,1
Pratapgarh,Satisfactory,73,O3,1
Prayagraj,Satisfactory,99,PM10,2
Pudukottai,Satisfactory,52,PM10,1
Pune,Satisfactory,73,"CO, PM2.5",9
Raipur,Satisfactory,51,"PM10, PM2.5",3
Rairangpur,Satisfactory,85,PM10,1
Rajamahendravaram,Satisfactory,66,PM10,1
Rajgir,Satisfactory,91,PM10,1
Rajsamand,Good,44,SO2,1
Ramanathapuram,Good,46,PM10,1
Ratlam,Satisfactory,60,PM10,1
Rishikesh,Good,41,PM10,1
Sagar,Good,50,"O3, CO",2
Saharsa,Satisfactory,78,PM10,1
Salem,Satisfactory,79,SO2,1
Samastipur,Moderate,129,CO,1
Sangli,Satisfactory,52,PM10,1
Sasaram,Moderate,108,PM2.5,1
Satna,Satisfactory,79,CO,1
Sawai Madhopur,Moderate,105,O3,1
Shillong,Moderate,109,"O3, PM2.5",2
Shivamogga,Good,50,PM10,1
Sikar,Satisfactory,65,O3,1
Silchar,Satisfactory,53,PM10,1
Siliguri,Satisfactory,53,PM10,1
Singrauli,Moderate,143,PM2.5,1
Sirohi,Good,46,O3,1
Sivasagar,Satisfactory,58,PM10,1
Solapur,Satisfactory,69,PM10,3
Sri Ganganagar,Moderate,121,PM10,1
Suakati,Moderate,165,O3,1
Talcher,Moderate,133,PM2.5,1
Tensa,Satisfactory,58,PM10,1
Thane,Good,44,PM10,2
Thanjavur,Good,49,PM2.5,1
Thiruvananthapuram,Satisfactory,58,"PM10, PM2.5",2
Thoothukudi,Satisfactory,93,CO,1
Thrissur,Satisfactory,61,PM10,1
Tiruchirappalli,Satisfactory,56,PM2.5,1
Tirumala,Satisfactory,52,PM2.5,1
Tirunelveli,Good,33,PM10,1
Tirupati,Satisfactory,69,PM2.5,1
Tumidih,Satisfactory,72,PM10,1
Udaipur,Satisfactory,85,PM10,1
Ulhasnagar,Satisfactory,75,PM10,1
Vapi,Good,36,SO2,1
Varanasi,Satisfactory,59,PM10,4
Vatva,Satisfactory,51,PM10,1
Vijayapura,Good,47,PM10,1
Vijayawada,Satisfactory,66,"PM10, PM2.5",3
Virar,Good,47,PM10,1
Virudhunagar,Satisfactory,58,PM10,1
Visakhapatnam,Satisfactory,95,PM10,1
Vrindavan,Good,31,SO2,1
Yadgir,Satisfactory,56,PM10,1
